一 自然數的開始，」大寫作「壹」，阿拉伯數字作「1」，姓，如明代有一炫宗，二一四部首之一，單個，相同、一致，專注的，全、滿、整，每、各，一次，另外的，統一，才、剛剛，偶然，表示加強的動作或突然的現象，概括，每每、每逢，放在二疊字動詞之間，表行為是不費力或嘗試性的，事物的某方面，竟、乃，表示事出意外，皆，表示程度，加強語氣，或，（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、  陽平、上聲之前，念去聲，)，一
一一 逐一、一個接一個，逐一，，一一
捐款 捐獻錢財，所捐獻的款項，，捐款
捐獻 捨棄私人財物而奉獻出來，捐募，，捐獻
捐贈 捐獻、贈送，施捨,贈送，，捐贈
捕 捉拿、擒住，獵取，古代的基層治安人員，姓，如漢代有捕巡，(一)之又音，，捕
捧 用兩手托物，捫、按，讚揚、奉承他人或代為吹噓，量詞，計算兩手捧承物品的單位，，捧
捧場 原指到劇場欣賞演員的表演，今多指替他人臨場助陣，恭維﹑助威，，捧場
捨不得 愛惜而不忍割捨或使用，，捨不得
捨得 願意割棄，不吝惜，，捨得
捲 把東西彎轉成圓筒狀，一股大力量把東西裹起來，斂取，彎曲，彎轉裹成圓筒狀的東西，量詞，計算成卷物品的單位，，捲
捷運 一種快速而便捷的大眾運輸，由於在專用道上行駛，不受其他車輛或行人的干擾，可提供乘客快速的服務，故適用於大規模的都市，，捷運
掀 舉起、揭開、打開，吹翻、翻動，拋甩，翹，，掀
掃 清除汙穢，消除、消滅，塗抹，掠過，打消、敗壞，繪畫、書寫，參見「掃帚」條，，掃
掃除 清掃汙穢，清除,驅除,消除，剿除、消滅，，掃除
授課 講授課業，，授課
掉 落下，遺失、遺漏，減退、剝落，擺動、搖動，回轉、轉動，對換、替換，置動詞之後，表示動作完成，，掉
掌握 在其權限內，控制，，掌握
掌聲 拍手的聲音，常用以表示鼓勵、稱讚，，掌聲
掏 伸進去拿，從某個空間中取出東西，挖，，掏
排 推、擠開，消除、除去，擯斥、排斥，疏導、疏通，一個接著一個，依照順序擺列，安置、設置，練習演戲，汽、機車換檔，排成的橫列，量詞，計算成列人或物的單位，陸軍的編制單位，四班為一排，四排為一連，用竹子或木頭編排而成的水上交通工具，排骨肉的簡稱，或指切成扁平狀的肉片，排球隊的簡稱，橫列在一起的，舊時搬家用的車子，參見「排子車」條，方言，將鞋子撐大，便於合乎某種形狀，，排
排列 依照次序排成行列，布列﹑分列﹑陳列，從一組事物中取出一些，而置於某些位置，稱為「排列」，數學上須研究其種種方式的個數，即為排列數，，排列
排名 排列名次，地位、名次，，排名
排擠 施用手段排斥別人，排斥﹑排除﹑傾軋，，排擠
排斥 排除駁斥，擯棄﹑擯斥﹑摒除﹑排擠﹑排除，免疫學上指生物體對於非本身組織的外來物質，所產生免疫反應來抵抗的一連串變化，如人體器官移植後的發燒，便是人體的排斥作用之一，，排斥
排球 一種球類運動，由美國人所創，球場長方形，中央隔有高網，雙方分占一邊，以手托或擊球，使球在網上往來，不得落地，排球運動中所使用的球，通常用人造革或牛皮做殼，橡膠做內胎，，排球
排除 消除、除去，排擠,排斥,排出,消除，排泄出去，，排除
排隊 依照順序排列成行伍，列隊，，排隊
掙 用力支撐，用力拉扯，爭奪，努力獲取，，掙
掙扎 勉強支撐，不覺又睡了去，」也作「扎掙」、「掙揣」、「掙挫」、「掙䦟」，奮力抵抗，，掙扎
掛 懸吊，牽念、懸念，佩戴、穿戴，登記，將話筒放回電話機上切斷通訊，打電話，帶著，死、完蛋，量詞，計算成套或成串物品的單位，用來懸吊的，，掛
掛號 編號登記，以備查考，登記，重要信件和印刷品付郵時，由郵局登記編號、給收據，掛號郵件若遺失，由郵局負責追查，，掛號
掛號信 以掛號方式郵寄的信件，，掛號信
採 摘取，擇取，掘取，扯、拔，理會，，採
採光 經過設計或角度的選擇而獲得適當的光線，為建築及攝影學上常考慮到的因素，，採光
採取 選擇取用，選取,採納,採用，，採取
採用 選取、任用，選取,選用,採納,採取，，採用
採納 接受他人的意見，接納,採取,採用，，採納
採訪 探採尋訪，新聞記者訪問打探消息，，採訪
採購 挑選購買各類物品，，採購
探 尋求，推究，打聽，試測，看望，擔任偵察工作的人，試，伸出，，探
探望 拜訪看望，拜望,訪候,探訪，，探望
探病 探訪病患，，探病
探究 探索追究或研究，探討,鑽探,研討,研究，，探究
探索 深入搜尋，摸索,探求,探尋,尋求,尋找,搜索，，探索
探親 探訪親戚，投親，，探親
探討 深入研究，探究,研討,研究，，探討
探訪 拜訪探問，拜望,訪候,訪問,探望　2.打聽，訪查、搜尋，，探訪
探險 到不為人知或危險的地方去冒險探索，，探險
接 交合、相觸，交際、招待，收、受，承受、托住，連續、連接，替換使延續，姓，如漢代有接昕，，接
接受 收受、接納，接納,接收，，接受
接待 招待，款待,招待,迎接，，接待
接洽 與人商議事情，，接洽
接管 接收管理，，接管
接納 接受收納，領受,接受,採納，結交、羅致，，接納
接著 接住，緊跟著，，接著
接見 延見、會見，會見，進見，，接見
接觸 碰著、挨上，交往、來往，接近，軍事上稱交戰為「接觸」，交戰，，接觸
接近 靠近，相離不遠，逼近,迫近,靠近,切近　2.親近，親近，有交往頻繁的意思，，接近
接連 連續不斷，連綿,連接,聯貫,相聯，，接連
控制 操縱，節制使不超出範圍或隨意活動，把持,操縱，，控制
推 用力往前或往外移動物體，順著遷移，根據已知尋究其他，擴充、擴展，選擇、荐舉，辭讓、讓與，藉口、假托，尊崇、讚許，除去，，推
推出 向社會大眾介紹推展，，推出
推動 用力使物體前進或搖動，推進﹑鼓動﹑促進，展開工作或事務，，推動
推崇 推薦、佩服，推重﹑敬重，，推崇
推廣 推動擴展，推行,擴充，，推廣
推測 推究揣測，探求,推度,推求,推想,揣測,猜想,猜測，，推測
推翻 推倒，否定原有的局勢、體制、決議等，，推翻
推薦 推舉引薦，」也作「推荐」，推舉﹑推選﹑舉薦，，推薦
推選 推薦選拔，推薦,推舉，，推選
推銷 推廣銷售，，推銷
推開 用推力將東西打開，，推開
掩蓋 掩蔽、遮掩，隱藏，，掩蓋
措施 解決問題的方法，辦法,步驟,方法,設施，施行，，措施
揀 選擇、挑選，拾取，，揀
揉 反覆摩擦、搓動，搓成團狀，使彎曲，安服，雜亂，，揉
揍 打，北平方言，指打破、打碎，，揍
描寫 以色彩、文字或圖畫等，表現事物的情狀、背景，描摹﹑描畫﹑描繪﹑描述﹑刻畫﹑形容，，描寫
描繪 依樣繪畫下來，用文字摹寫，，描繪
描述 用語言文字來表達事物的情況，描摹﹑描寫﹑形容，，描述
提 用手懸空拿著，從下往上移，把預定時間往前移，領取，舉出、揭示，振作，說、談，警覺，舀酒、油等的長柄器具，姓，如春秋時晉國有提彌明，清代有提橋，參見「朱提」條，投擲，參見「提防」、「提溜」等條，，提
提供 供給，供應，，提供
提倡 對一種事物或風氣的鼓勵和倡導，發起,倡導,倡始,首倡，，提倡
提出 取出、領出，舉出、揭示出來，，提出
提前 把預定的時間向前挪移，」也作「提早」，，提前
提升 拉高或提高，也作「提昇」，拔擢、升級，提拔，，提升
提及 提到、說到，說起，，提及
提名 在選舉活動中，遴選候選人，以供選民選擇，稱為「提名」，，提名
提拔 舉薦或擢升人才，拔擢,扶植,汲引，拯救，提醒，，提拔
提早 將預定的時間挪前，」也作「提前」，，提早
提議 提出意見讓大家研究討論，倡議，所提出的意見，，提議
提起 拿起、舉起，談及、論到，振作，提出，，提起
提醒 從旁促人注意或指點，指點，，提醒
提防 小心防備、注意防範，防備,防衛,注意,預防，，提防
提高 使原來位置、程度、等級、數量、水準等方面加以增高、拉昇，，提高
插 刺入、扎入，栽種，放進、擺入，參入其間，，插
插嘴 別人講話時，從中插進去說話，』」也作「插口」、「插話」，，插嘴
插圖 書籍或報刊雜誌中插印的圖畫、照片，具有說明內容的作用，，插圖
插曲 電影或戲劇中幕與幕之間所奏的樂曲，臨時發生的小事件，，插曲
插花 一種將花材作適當的安排，使之美觀，藉以陶冶心性的藝術，插花於冠帽以為飾，舊時科舉中試者，得插花披紅，以示榮寵，戴花，賭局進行時，由局外人搭角共承擔輸贏的責任，後引指參與別人的事情而獲利，比喻參與、加入另一個團體的活動，，插花
換 互易、對調，更改、變易，，換
換取 以交換的方法取得，，換取
握 用手掌執持或抓緊，掌管、控制，量詞，計算一手抓滿的數量的單位，相當於「把」，，握
握手 彼此伸手相互握住，是見面時的禮節，亦可表示親近或信任，，握手
揪 扭扯、抓住，，揪
揭幕 亦泛指各種場合的開幕或比喻事情的開始，開張，，揭幕
揭曉 公布、發表，發表，，揭曉
揭開 掀開、打開，顯露事實，，揭開
揮 搖動、擺動、舞動，發散、拋灑，發號令、指示，，揮
援助 援救幫助，幫助,扶助,接濟,支援,援救,援手，，援助
損 減少，失、喪失，傷害、毀壞，貶抑、謙退，用苛薄言語嘲諷他人，北方方言，指尖酸刻薄，《易經》卦名，六十四卦之一，兌（☱）下艮（☶）上，象明損下益上，即能獲大吉之利而其道上行，，損
損傷 損壞、傷害，」也作「損害」，，損傷
損壞 損毀、破壞，破損,毀壞,損害，，損壞
損失 損毀丟失，亦指損毀丟失的物品，虧損,耗損,失掉,喪失，，損失
損害 損壞、傷害，」也作「損傷」，破壞,妨害,傷害，，損害
搏鬥 徒手或以刀、棍等器物激烈對打，奮鬥﹑鬥爭﹑格鬥，，搏鬥
搓 兩手反覆相揉、磨擦，將物置於手中運轉，，搓
搖 擺動、晃動，姓，如漢代有搖毋餘，，搖
搖擺 搖蕩、擺動，搖動,搖晃,搖曳，走動，，搖擺
搖晃 擺動，搖擺,搖蕩,搖動,搖曳，，搖晃
搖頭 頭向左右搖動，表示拒絕、否定或阻止，，搖頭
搗蛋 以各種手段或無理的方式，擾亂或破壞他人做事情，」也作「倒蛋」，破壞,搗亂,搗鬼,作怪，，搗蛋
搜集 搜索匯集，收集,採集,搜羅,搜聚，，搜集
搞 做、從事，，搞
搬 使出力氣移動較笨重或較大物體的位置，遷移，表演、扮演，挑撥，，搬
搬家 遷移居所，」也作「搬場」，遷居，泛指移動物品的位置或地點，，搬家
搬運 把東西移動或運送到別處，，搬運
搭 掛、披掛，覆蓋，架設、架起，連接、接著，鉤、牽引，配合，參預、加入，乘坐，按，披在身上的短衣，姓，如元代有搭海，焦油的舊稱，參見「煤搭」條，，搭
搭配 兩相配合，襯托，雜色相配合，夾雜配給，，搭配
搶 奪取，皮膚受擦傷，刮磨刀剪的刃端，使其鋒利，爭先的、趕緊的，(二)之又音，碰撞、觸碰，迎、逆，推、拉，，搶
搶救 在緊急危險的情況下迅速救護，拯救,挽救,援救，，搶救
摔 用力扔、丟，墜落、掉落，使掉落而受損，擺脫掉，跌倒，柔道技巧摔的動作，，摔
摘 用手採取，選取，指出、批評，借貸，侵擾，發動，，摘
摟 攏合、牽聚，用手臂攏抱著，把散在面前的東西聚攏過來，把衣服提挽起來，搜刮，招徠，，摟
摧殘 摧折破壞，凌虐,蹂躪,殘害,摧毀，挫折受辱，，摧殘
摧毀 摧折毀壞，破壞,粉碎,毀壞,摧殘，，摧毀
摩托車 用內燃機發動行駛的機車，為英語motorcycle的音譯，，摩托車
摸 用手接觸或撫摩，揣測、通過試探而了解，掏，偷取，抓、玩，逗留、拖延，仿效，(一)之又音，，摸
撈 參見「撈什子」條，從水中取出東西，獲得、以不正當的手段取得，，撈
撐 支持、抵住，用竹篙撥水使船前進，張開，飽、充滿，，撐
撐腰 給予支持，當靠山，，撐腰
撒 放開、散放，排出、排洩，施展、表現，姓，如明代有撒仲謙，散布、分散，東西散落或傾倒出來，，撒
撒謊 說謊話，，撒謊
撕 用手指將東西扯裂或使它離開附著處，參見「提撕」條，，撕
撞 敲打，碰擊，爭執、起衝突，碰巧遇到，(一)之讀音，，撞
撤回 召回駐外機構或人員，收回文件、命令等，，撤回
撤銷 撤回、取消，取消，，撤銷
撥 橫向推開或排除，用手轉動、挑動或拉動，扭轉，提出部分發放，碰觸撞擊，挑動、彈動弦索樂器的用具，量詞，計算成批或分組人群的單位，，撥
撫育 撫養教育，哺育,撫養,贍養，，撫育
撫養 保護教養，培育,奉養,扶養,撫育,贍養，，撫養
播 下種，將種子撒在土裡，宣揚、傳布，放送，分開、分散，遷移、逃亡，搖動，，播
播出 利用擴音器、收音機或電視機傳送訊息或節目，，播出
撮合 將雙方拉攏在一起，拉攏,說合，，撮合
撰寫 寫作、著述，，撰寫
撲 擊打，輕拂，（翅膀）在空氣中連續拍擊，拍除，向前猛衝，捕捉，塗敷、附著，偷，以錢擲地賭輸贏，輕拍或拂拭的工具，刑杖，圍棋術語，一種圍棋的犧牲打，故意奉送對方一子或兩子，藉以提回遠較此數為多的敵子的手段，，撲
撲滅 撲打消滅，消滅，，撲滅
撿 拾取，挑選，，撿
擁抱 相擁而抱，，擁抱
擁擠 群聚密集，，擁擠
擁有 持有，，擁有
擁護 扶助，贊同，，擁護
擅長 專長，專精於某種技藝或學術，特長,善於，，擅長
擊 敲打，攻打，碰、接觸，，擊
擊落 空中飛行物被打下來，，擊落
擋 遮蔽，攔阻、抵擋，，擋
操作 勞力治事，按一定之步驟、程序進行活動，，操作
操場 供軍事操練的廣場，供體育活動的廣場，一般指學校的運動場，，操場
操心 勞費心力、精神，費心,擔心，執持的心志，，操心
操縱 駕駛、駕控，駕馭,駕御，控制、指揮，，操縱
擔 用肩膀挑東西，參見「扁擔」條，負責、承當，用扁擔所挑的物品，肩負的責任，量詞，計算成挑物品的單位，，擔
擔任 擔負某種職務及責任，負擔,擔負,擔當,職掌,掌管，，擔任
擔保 承當保證的責任，若出問題，擔保者須負起責任，包管﹑保證，，擔保
擔心 掛念、不放心，頂好是早點搬到兄弟衙門裡來住，省得擔心，」也作「耽心」，擔憂,顧慮,顧忌,掛念,操心,憂慮，，擔心
擔當 擔負、承當，負擔,擔負,擔任，，擔當
擔負 擔當責任，負擔，責任的分量，，擔負
據 倚靠，占有、占守，按照、依照，引證、援引，憑證，可作為證明的事物，姓，如明代有據成，，據
據悉 根據資料或消息得知，，據悉
據說 根據他人所說，而未必有真憑實據，聽說，，據說
擠 聚集、緊密的靠攏在一起，在擁擠的環境中，用力穿插而過，用力壓榨，空間小而所裝內容密度極高，，擠
擦 摩，揩拭，塗抹，貼近、靠近，擦抹的用具，，擦
擬 揣度、估量，比照、相比，摹擬、仿效，比劃，打算、想要，起草、編寫，，擬
擬定 擬測事情且做確定，」也作「以定」，制定,制訂，，擬定
擱 放置、安放，停留、停滯，添上、加上，承受，，擱
擲 拋投、丟扔，拋棄，跳躍，，擲
擴大 放大範圍，擴展,擴張,擴充，，擴大
擴建 擴大工程建築等的規模，，擴建
擴張 擴大，擴大,擴展,擴充,伸張，，擴張
擴散 物理學上指物質因不同位置上的濃度差，而引起自發的物質移動，以趨於均勻濃度的現象，擴大散開，，擴散
擺 搖動，陳列、布置，故意顯示，算計、陷害，搖動的物體，，擺
擺脫 設法撇開牽絆的事物，不受其拘束，擺落﹑解脫，，擺脫
擾亂 紛擾、紛亂，」也作「擾動」，破壞、騷擾，滋擾,騷擾，，擾亂
攀 抓住物體往上爬，依附，牽連、牽扯，摘、折，，攀
攔 阻擋，當、對著，，攔
攝取 吸取，，攝取
攝影 拍攝人物影像，拍照,照相，，攝影
攝影機 將動態的形象連續記錄在軟片上的機器，，攝影機
攝氏 攝氏寒暑表的簡稱，用來表示溫度的高低，為瑞典人攝爾修（Celsius)創造，常用符號Ｃ來表示，，攝氏
攤位 固定攤販的位址，市場出租的攤位，或經警察機關核准的營業地點，，攤位
攤子 陳設在路旁的簡易售貨場所，」也作「攤兒」，，攤子
攪和 攪拌調和，無端生事，，攪和
攪擾 叨擾、搗亂，，攪擾
支 草木的枝條，旁系、分出的派別，手腳，地支的簡稱，」(2) 計算歌曲、樂曲的單位，(3) 計算綿紗細度的單位，支數愈多，紗質愈細，(4) 計算燈光強度的單位，姓，如唐代有支叔才，二一四部首之一，撐持、維持，承受、受得住，付款，領取，調度、分配、遣走，別出的、由總體分出來的，，支
支付 付出款項，付出,支撥,支出，，支付
支出 支付、付出，付出,支撥,支付，支付的費用、款項，，支出
支應 應付、搪塞，伺侯，供應、供付，供給物，，支應
支持 支撐維持，支柱,支撐,撐持，贊助、鼓勵，應付、照應，支付、支出，說話吞吐含糊、搪塞應付，，支持
支援 支持援助，救援,聲援,援助，，支援
支撐 頂住，使物體不倒塌，支持、維持，支柱,支持,撐持,維持，，支撐
支票 發票人簽發一定的金額，委託金融業者於見票時，照票面所載金額，無條件支付與受款人或執票人的票據，，支票
支配 安排、分配，擺布，調度指揮，，支配
收 拘押、捉拿，收回、取回，獲得、索取，接到、接受，割取成熟的農作物，保存儲藏，聚斂、縮合，容納、接納，整飭、整理， 埋葬， 購買， 結束、停止， 控制、約束，，收
收入 收下、進入，收進來的錢款，映入，，收入
收拾 把散亂的東西加以收集整理，摒擋,料理，折磨、懲處，照顧，準備、布置，，收拾
收據 收領金錢或其他物件的憑證單據，，收據
收益 獲得好處，法律上指所有權或用益權人，依法取得其物所產之利益，稱為「收益」，如房主所收的房租、農夫所獲的農作物等，，收益
收看 選擇電視播映的節目，並且觀賞，，收看
收穫 割取成熟的農作物，」也作「收獲」，泛指得到的成果或利益，」也作「收獲」，得益,成績，，收穫
收縮 由大變小或由長變短縮聚起來，縮小，，收縮
收聽 選擇電臺的播音節目來欣賞，，收聽
收藏 收集儲藏，保藏，，收藏
收買 購買、採買，用錢財或利益買通人，使受利用，，收買
收費 收取費用，所收取的費用，，收費
收集 聚集，匯集，，收集
收音機 收聽無線電廣播的電器，，收音機
改 修改、修正錯誤，姓，如秦代有改產，，改
改善 有所改變，使更趨良善，改良,改進,改正，，改善
改天 指今天以後的某一天，，改天
改正 把謬誤的改成正確的，訂正,釐正,改良,改進,矯正,校正,糾正,修正，，改正
改編 改變而重新編制，把書籍重新編輯，加以訂正，把故事情節重新編排，，改編
改良 改變事物使其更加優良，改革,改進,改正,改善，，改良
改觀 面目一新，轉變，改變看法，，改觀
改變 更改、變動，」也作「改易」，變更,調動,蛻變,改動,改革,更動,更改,轉變,轉換，，改變
改造 改革變更、重新製造，改革，，改造
改進 改正以求進步，革新,改良,改正,改善，，改進
改選 因任期屆滿或其他原因而重新選舉，官職改調，，改選
改革 去故更新，變革,釐革,革新,改變,改良,改革,改造，，改革
攻 出擊，治療，指責，治理、整治，從事、鑽研，姓，如漢代有攻生單，，攻
攻擊 以武力、語言或文字對人施加傷害，主動進攻，襲擊敵人，打擊,進犯,進攻,進擊,襲擊，，攻擊
攻讀 致力讀書、鑽研某種學問，，攻讀
放 逐，棄，放縱、任由，安置，發出，開、展，在一定時間後停止，任官職，多指京官外任而言，弄，置於「仔細」、「明白」、「聰明」等詞前，有提請注意的意思， 打網球、排球、乒乓球時的偷襲，放蕩、不拘束，依據，至，仿效，，放
放任 聽其自然，不加干涉，放縱，，放任
放假 假日停止工作，休假，，放假
放大 使圖像、聲音、功能等變大，，放大
放學 學生下課回家，，放學
放寬 放鬆，，放寬
放心 放恣、放散之心，開拓胸襟，安心，定心﹑寬心﹑釋懷,安心，，放心
放手 貪縱為非，放膽　2.4.鬆手　4.罷休,放棄，鬆手、罷手，行事不受牽制，放膽　2.4.鬆手　4.罷休,放棄，放棄不問，，放手
放映 利用強光裝置把圖片或影片上的形象照射在幕上或牆上，，放映
放棄 拋棄，擯棄﹑屏棄﹑拋棄,放手﹑唾棄﹑捨棄，，放棄
放款 銀行按票面價格買進票據，分期或到期收取利息之資金貸與方式，，放款
放火 引火焚燒，縱火，放燈，，放火
放縱 縱容，不加約束，放蕩,放浪,放肆  1.放任,縱容，不循規矩禮節，，放縱
放聲大哭 放開嗓門大聲的哭，，放聲大哭
放蕩 行為不加檢束，」也作「放浪」，放浪,放縱,放肆,落拓,狂放,縱脫，，放蕩
放逐 把罪人充發到遠方去，或驅逐出境，流放，，放逐
放鬆 紓解、放開、解開，放寬、不苛刻，，放鬆
政府 唐宋時稱宰相處理政務的地方為「政府」，國家統治機關的總稱，為近代國家構成要素之一，凡具有制定法律及執行法律之權力的政治組織，稱為「政府」，，政府
政權 人民管理政府的權力，相對於治權而言，政為眾人之事，管理眾人之事的力量，稱為「政權」，可分為選舉、罷免、創制、複決四種，，政權
政治 政就是眾人的事，治就是管理，管理眾人的事便稱為「政治」，政事，，政治
政策 泛指某一團體組織為達到設定目標所採取的方法、策略，，政策
政績 官吏治理政務的績效，治績，，政績
政見 對於政治的見解、意見，，政見
政黨 由政治理想相同的人結合而成，在一定的紀律下，謀求政治權力，以合法控制政府人事及政策，進而實現其共同政見的組織，，政黨
故 原因、根由，意外的事情、事件，好友、舊識，過去的事物，死亡，原來的、以前的，死去的，本來、從前，有意、存心，仍舊、依然，因此、所以，，故
故事 舊例、老規矩，傳說中的舊事，或杜撰的事情，事故，，故事
故意 存心、有意，存心,有心,有意，舊友的情意，法律上指行為人認識構成犯罪之事實，而決心使其發生，或任其發生之意思狀態，，故意
故鄉 家鄉，老家,故里,家鄉,家園,鄉里,梓里,梓鄉,桑梓，，故鄉
效力 出力、服務，服從,效勞,出力,用命　2.功能,功效,功用,效能,效率，功能、效驗，，效力
效勞 出力、服務，效力，，效勞
效忠 全心效力，忠貞不二，盡忠，，效忠
效果 功效、效率，成果,惡果，戲劇上指為配合劇情需要所造成的特殊聲光，，效果
效法 合乎法則，學習、模仿，模倣，，效法
效率 所付出之能力與所獲得之功效的比率，功效,效能,效力,效用，物理上指儀器所輸出的有效能量與輸入儀器的總能量的比值，，效率
敏感 一種神經上的病態，對外界情況容易引起迅速而強烈的反應，泛指心理、生理上超乎尋常程度的感受與反應，尖銳的、容易引起是非的，，敏感
敏捷 反應迅速快捷，麻利,靈活,快捷,迅捷,迅速，，敏捷
救 制止、阻止，援助、使脫離困難或危急，治療，，救
救命 拯救性命，遇到危險時所發出的緊急求救聲，，救命
救援 救助、援助，救濟,支援，，救援
救濟 用財物幫助貧苦的人，布施,接濟,救濟,救援,周濟,賑濟,拯濟,拯救,援救，，救濟
救火 撲滅火災，，救火
救護車 載運傷患的車子，車中設備可供醫護人員為傷患作臨時急救、醫療及護理等事宜，，救護車
敗 戰爭失利，」事不成功，打敗、戰勝，被打敗，破壞，毀壞、損壞，腐爛，衰落，解除、消除，被打敗的，凋殘的，，敗
敗壞 毀壞、破壞，破壞﹑廢弛，，敗壞
敘述 陳述，也作「序述」，陳述,陳說，，敘述
教 訓誨、誘導，使、讓，禮儀、規矩，宗教的簡稱，姓，如明代有教輔直，傳授，，教
教化 乞丐、叫花子，」也作「叫化」，乞討、行乞，有酒麼？教化一鍾兒，」也作「叫化」，教導感化，教養,薰陶，，教化
教員 教師、擔任教學工作的人員，教練,教師，，教員
教堂 教徒集會傳教與舉行儀式的會堂，，教堂
教學 教師把知識與技能傳授給學生的過程，教授　2.教養，教誨、感化，，教學
教官 古代掌管教化人民的官員，元、明、清時，府、州、縣學教授、學正、教諭、訓導等掌教誨曉諭之職者，通稱為　「教官」，現今軍隊、軍事學校與一般訓練機構之教員，或學校中教授軍事訓練課程者，均通稱為「教官」，，教官
教室 學校裡進行教學活動的房間，課堂，，教室
教導 訓誨指導，教誨,教訓,教育,訓導,訓誨,指導，，教導
教師 凡教授學生，傳授知識的人，統稱為「教師」，舊時教授武術或戲劇歌藝的人，，教師
教徒 信仰某一宗教的人，，教徒
教授 傳授知識、技藝，教學,講授,傳授，職官名，宋、元以後府、州、縣學的學官，掌學校課試等職，後亦用為對教書先生的尊稱，在大學及專科以上學校任教的教師中等級最高者，，教授
教書 教導學生學習各種知識，，教書
教會 天主教、基督教等教派的信徒的組織，，教會
教材 教學上所使用的材料，課本，，教材
教法 教學的方法，，教法
教科書 教學活動中，在一定範圍內，專門編寫給學生上課用的課本，，教科書
教練 訓練別人學習某種技能，訓練　2.教員，從事於訓練別人學習某種技能的人員，，教練
教育 教導培育，哺育,教導,教誨,教訓，一種有關培植人才，訓練技能，以支應於國家建設、社會發展的事業，，教育
教訓 教導訓戒，教導,教誨,教育,訓誨,訓誡，從失敗或錯誤的經驗中取得的認識，，教訓
教誨 教導訓誨，教導,教訓,教育,訓誨，，教誨
敝 破的、舊的，疲倦，自謙之詞，用於對別人指稱和自己相關的事物，失敗，毀壞，，敝
敞開 張開、大開，洞開，，敞開
敢 有膽識、毫不畏懼人的，有膽量、不畏懼，表示冒昧，豈，莫非、大概，，敢
散 分離，分布、撒出，排遣、抒發，解雇、解職，逃走，不自約束的，零碎、不緊湊，閒逸，雜亂、沒有規則，分開、解體，藥粉，姓，如周代有散宜生，，散
散布 分散傳布，」也作「散佈」，流傳,傳播,撒佈,散播，，散布
散文 不用韻、不對偶，句法參差的文章，相對於韻文及駢文而言，，散文
散步 隨意走走，漫步,閑步,信步，，散步
敬 尊重，有禮貌的獻上，慎重、恭敬，恭肅，表示敬意、謝意或祝賀之意的禮物，姓，如唐代有敬元禮，，敬
敬仰 敬重仰慕，敬佩,敬重,敬愛,瞻仰,熱愛，，敬仰
敬佩 敬重佩服，佩服,敬重,敬愛,敬仰,欽佩，，敬佩
敬愛 尊敬愛慕，敬佩,敬仰,熱愛,尊敬,愛戴，，敬愛
敬禮 行禮，送人的禮物，如;「老師，這是我們全班同學的敬禮，請務必收下，」書信中的致敬用語，通常用於結尾處，，敬禮
敬酒 筵席間舉杯向人表示敬意，，敬酒
敲 叩、擊，斟酌、推究，揩油、訛詐、勒索，短杖，，敲
整 不帶小數點的數字，全數、總數，集合，治理、安放，修理，有秩序的，完全的、全部的，正好、剛好，，整
整天 從早到晚，」也作「整日」，全日,成天，，整天
整整 十足的、完整的，，整整
整數 數學上指不含真分數或無理數的數，包括零、自然數與帶負號的自然數，如-3、-2、  -1、0、1、2 等均屬之，沒有零頭的數目，，整數
整日 整天，從早到晚，」也作「整天」，全日,鎮日，，整日
整潔 乾淨而井然有序，，整潔
整理 收拾、準備，整頓治理，，整理
整頓 把散亂或不健全的事物治理得有條不紊，準備、辦治，，整頓
整體 全體，團體,集體,全體，，整體
整齊 整理、調整，有次序、有條理，，整齊
敵人 仇敵，與己方有仇恨而相對抗的人，仇人，，敵人
敷衍 傳播，陳述其義而引申之，辦事不切實，僅顧表面應付、應酬，馬虎,搪塞,苟且,將就,支吾,應付，，敷衍
數 數目、數量，古代計算的方法，為六藝之一，占卜之術，技藝，氣運、命運，規律、法則，法制，幾，為約舉之詞，頻頻、屢次，計算，責備，比較起來最突出，參見「數珠」條，細密，，數
數字 表示數目的文字或符號，如漢字的「捌」和阿拉伯數字的「8 」等，，數字
數學 討論數量、形狀及它們之間的關係的科學，包括算術、代數、幾何、三角、解析幾何、微分、積分等，，數學
數據 經由調查或實驗得到，而尚未經過有效處理的數值，，數據
數目 通過單位標示所表現出來的具體數量概念，數量，，數目
數量 總額的多寡，數目，，數量
文件 書札、公文之類的統稱，文獻，，文件
文具 讀書寫字所用的器具，如紙、墨、筆、硯等，空有形式，而無實質，古時女性的梳妝匣，，文具
文化 人類在歷史發展過程中創造的總成果，包括宗教、道德、藝術、科學等各方面，文明　2.教化，文治教化，，文化
文壇 文學界，文學界，，文壇
文字 人類用來表示觀念、記錄語言的符號，文書，文章、書籍，，文字
文學 廣義泛指一切思想的表現，而以文字記述的著作；狹義則專指以藝術的手法，表現思想、情感或想像的作品，職官名，漢時州郡及王國都設置，，文學
文憑 用作證明的文書，舊時官吏赴任所持的憑證，及學校給學生證明其在校肄業或畢業的，皆稱為「文憑」，證書，，文憑
文明 人類社會進步開化的狀態，相對於野蠻而言，文化，清末民初稱新穎，具現代色彩的事物，常加上文明二字，如稱手杖為「文明棍」、話劇為「文明戲」等，，文明
文法 文詞、文句的結構規則，文書法令，，文法
文物 禮樂典章，人類社會歷史發展過程中所遺留下來的具有價值的東西，如建築、生活器皿、各種藝  術品等，，文物
