0,1,2,3,4
人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3 + c1 + 人4 + p1 + a1 + d1 + v3 + vn1 + 人5 + 事2 + uj2 + 物1,人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3 + c1 + 人4 + p1 + a1 + d1 + v3 + vn1 + 人5 + 什麼事情 + uj1 + 物1,他父親是教聾啞人說話的專家所以貝爾從小就喜歡研究人類說話的聲音,他父親是教聾啞人說話的專家所以貝爾從小就喜歡研究人類什麼事情聲音,說話
人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3,人1 + v1 + v2 + 誰 + 事1 + uj1 + 人3,他父親是教聾啞人說話的專家,他父親是教誰說話的專家,聾啞人
人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3,誰 + v1 + v2 + 人2 + 事1 + uj1 + 人3,他父親是教聾啞人說話的專家,誰是教聾啞人說話的專家,他父親
c1 + 人1 + p1 + a1 + d1 + v1 + vn1 + 人2 + 事1 + uj1 + 物1,c1 + 誰 + p1 + a1 + d1 + v1 + vn1 + 人2 + 事1 + uj1 + 物1,所以貝爾從小就喜歡研究人類說話的聲音,所以誰從小就喜歡研究人類說話的聲音,貝爾
c1 + 人1 + p1 + a1 + d1 + v1 + vn1 + 人2 + 事1 + uj1 + 物1,c1 + 人1 + p1 + a1 + d1 + v1 + vn1 + 人2 + 什麼事情 + uj1 + 物1,所以貝爾從小就喜歡研究人類說話的聲音,所以貝爾從小就喜歡研究人類什麼事情的聲音,說話
人1 + v1 + 物1 + c1 + p1 + 物2 + v2 + a1 + uj1 + n1 + v3,誰 + v1 + 物1 + c1 + p1 + 物2 + v2 + a1 + uj1 + n1 + v3,他想電報可以把文字送到很遠的地方去,誰想電報可以把文字送到很遠的地方去,他
人1 + v1 + 物1 + c1 + p1 + 物2 + v2 + a1 + uj1 + n1 + v3,人1 + v1 + 什麼東西 + c1 + p1 + 物2 + v2 + a1 + uj1 + n1 + v3,他想電報可以把文字送到很遠的地方去,他想什麼東西可以把文字送到很遠的地方去,電報
人1 + v1 + 物1 + c1 + p1 + 物2 + v2 + a1 + uj1 + n1 + v3,人1 + v1 + 物1 + c1 + p1 + 什麼 + v2 + a1 + uj1 + n1 + v3,他想電報可以把文字送到很遠的地方去,他想電報可以把什麼送到很遠的地方去,文字
v1 + v2 + v3 + p1 + 物1 + d1 + v4 + a1 + uj1 + n1 + q1 + y1,v1 + v2 + v3 + p1 + 什麼東西 + d1 + v4 + a1 + uj1 + n1 + q1 + y1,有沒有可能把聲音也送到很遠的地方呢,有沒有可能把什麼東西也送到很遠的地方呢,聲音
人1 + c1 + 人2 + uj1 + 人3 + 人4 + v1 + 事1 + 物1,人1 + c1 + 人2 + uj1 + 人3 + 什麼人 + v1 + 事1 + 物1,貝爾和他的朋友華生開始研究電話,貝爾和他的朋友什麼人開始研究電話,華生
人1 + c1 + 人2 + uj1 + 人3 + 人4 + v1 + 事1 + 物1,人1 + c1 + 人2 + uj1 + 人3 + 人4 + v1 + 事1 + 什麼,貝爾和他的朋友華生開始研究電話,貝爾和他的朋友華生開始研究什麼,電話
人1 + c1 + 人2 + uj1 + 人3 + 人4 + v1 + 事1 + 物1,誰 + c1 + 人2 + uj1 + 人3 + 人4 + v1 + 事1 + 物1,貝爾和他的朋友華生開始研究電話,誰和他的朋友華生開始研究電話,貝爾
p1 + r1 + m1 + n1 + d1 + v1 + v2 + uj1 + 人1,p1 + r1 + m1 + n1 + d1 + v1 + v2 + uj1 + 誰,在另一個房間剛要睡覺的華生,在另一個房間剛要睡覺的誰,華生
d1 + d2 + 人1 + v1 + ul1 + m1 + 物1 + uj1 + n1,d1 + d2 + 人1 + v1 + ul1 + m1 + 什麼東西 + uj1 + n1,也就是人類有了第一架電話機的日子,也就是人類有了第一架什麼東西的日子,電話機
v1 + ul1 + f1 + uj1 + 物1 + c1 + 物2,v1 + ul1 + f1 + uj1 + 物1 + c1 + 什麼,淹沒了附近的農田和房屋,淹沒了附近的農田和什麼,房屋
v1 + ul1 + f1 + uj1 + 物1 + c1 + 物2,v1 + ul1 + f1 + uj1 + 什麼 + c1 + 物2,淹沒了附近的農田和房屋,淹沒了附近的什麼和房屋,農田
s1 + uj1 + 人1 + v1 + a1 + uj2 + n1,s1 + uj1 + 誰 + v1 + a1 + uj1 + n1,當地的居民受到很大的損失,當地的誰受到很大損失,居民
人1 + d1 + a1,誰 + d1 + a1,秦王很著急,誰很著急,秦王
nr1 + v1 + v2 + ul1 + 人1,nr1 + v1 + v2 + ul1 + 誰,後來找到了李冰,後來找到了誰,李冰
d1 + v1 + 人1 + v2 + 事1,d1 + v1 + 誰 + v2 + 事1,便派他去治水,便派誰去治水,他
d1 + v1 + 人1 + v2 + 事1,d1 + v1 + 人1 + v2 + 什麼事情,便派他去治水,便派他去什麼事情,治水
d1 + v1 + ul1 + 事1 + uj1 + n1,d1 + v1 + ul1 + 什麼事情 + uj1 + n1,再找出了鬧水災的原因,再找出了什麼事情的原因,鬧水災
人1 + v1 + ul1 + m1 + n1,誰 + v1 + ul1 + m1 + n1,李冰想出了一個辦法,誰想出了一個辦法,李冰
v1 + 物1 + zg1 + 物2 + d1 + p1 + m1 + 物3 + v2,v1 + 物1 + zg1 + 什麼 + d1 + p1 + m1 + 物2 + v2,遇到大水時水自動往兩條水道流去,遇到大水時什麼自動往兩條水流去,水
v1 + 物1 + zg1 + 物2 + d1 + p1 + m1 + 物3 + v2,v1 + 什麼 + zg1 + 物2 + d1 + p1 + m1 + 物2 + v2,遇到大水時水自動往兩條水道流去,遇到什麼時水自動往兩條流去,大水
v1 + ul1 + r1 + m1 + 物1 + u1 + nr1 + d1 + d2 + d3 + v2 + 事1 + ul2,v1 + ul1 + r1 + m1 + 什麼 + u1 + nr1 + d1 + d2 + d3 + v2 + 事1 + ul1,有了這兩條水道之後就不再鬧水災了,有了這兩條什麼之後就不再鬧水災,水道
c1 + 人1 + n1 + 物1 + v1 + ul1 + n2 + uj1 + an1,c1 + 人1 + n1 + 什麼 + v1 + ul1 + n2 + uj1 + an1,因為他整治河流解除了大家的痛苦,因為他整治什麼解除了大家的痛苦,河流
c1 + 人1 + n1 + 物1 + v1 + ul1 + n2 + uj1 + an1,c1 + 誰 + n1 + 物1 + v1 + ul1 + n2 + uj1 + an1,因為他整治河流解除了大家的痛苦,因為誰整治河流解除了大家的痛苦,他
